X,Y,month,day,temp,wind
7,5,mar,fri,8.2,6.7
8,6,mar,fri,8.3,4.0
6,5,aug,fri,17.0,6.7
6,5,sep,fri,22.9,5.4
7,4,sep,fri,19.0,5.8
6,3,sep,fri,25.4,3.6
6,3,sep,fri,20.6,1.8
7,4,oct,fri,11.3,5.4
2,2,feb,fri,12.3,0.9
2,2,sep,fri,23.0,4.5
2,2,sep,fri,19.6,5.4
2,2,sep,fri,19.6,6.3
4,5,mar,fri,17.2,4.5
4,5,mar,fri,15.8,7.6
4,5,sep,fri,17.7,3.6
5,4,mar,fri,15.6,6.3
5,4,sep,fri,27.6,1.3
9,9,feb,fri,15.7,3.1
1,2,aug,fri,14.7,2.7
8,6,mar,fri,17.4,5.4
4,5,mar,fri,12.7,6.3
4,4,mar,fri,13.7,5.8
3,4,mar,fri,18.8,4.5
3,4,sep,fri,19.8,5.4
3,5,sep,fri,17.2,3.1
8,6,aug,fri,21.2,8.9
6,5,jun,fri,23.2,5.4
5,4,sep,fri,20.1,4.9
7,4,sep,fri,19.0,5.8
6,5,mar,fri,14.6,9.4
8,6,aug,fri,20.8,4.9
6,5,mar,fri,11.7,4.0
2,5,aug,fri,23.5,5.4
6,5,sep,fri,19.6,6.3
7,4,sep,fri,20.1,4.9
3,4,sep,fri,18.6,3.6
2,2,jul,fri,13.4,3.6
4,4,apr,fri,16.7,3.1
3,4,aug,fri,11.2,7.6
2,4,aug,fri,21.4,3.1
6,3,aug,fri,19.3,3.6
4,4,aug,fri,21.8,3.1
4,6,dec,fri,2.2,4.9
5,4,feb,fri,7.5,8.0
4,5,jul,fri,22.9,1.3
3,6,jun,fri,19.2,4.5
3,6,jun,fri,19.2,4.5
5,4,sep,fri,10.1,3.6
3,4,sep,fri,17.4,4.5
5,4,sep,fri,12.8,3.6
5,4,sep,fri,10.1,3.6
4,4,sep,fri,15.4,6.3
7,4,sep,fri,20.6,3.6
7,4,sep,fri,19.8,2.7
7,4,sep,fri,18.7,2.2
4,4,sep,fri,20.8,4.9
4,4,sep,fri,20.8,4.9
6,3,sep,fri,15.9,3.6
6,3,sep,fri,19.7,2.7
1,4,sep,fri,21.1,2.2
6,5,sep,fri,18.4,2.2
4,3,sep,fri,17.3,4.0
7,4,sep,fri,15.2,3.1
6,5,sep,fri,10.3,4.0
6,4,aug,fri,23.3,3.1
7,4,aug,fri,23.3,3.1
8,6,sep,fri,20.7,2.7
9,9,aug,fri,25.0,4.0
4,3,sep,fri,19.9,3.1
6,3,feb,fri,14.7,2.7
7,4,feb,fri,8.2,9.4
1,4,aug,fri,22.2,3.6
1,3,sep,fri,19.1,2.2
5,4,sep,fri,16.2,3.6
1,2,jul,fri,14.8,8.0
2,5,sep,fri,16.2,3.6
1,4,aug,fri,11.8,4.9
4,3,may,fri,18.0,4.0
1,3,aug,fri,32.4,2.2
1,3,aug,fri,27.5,4.5
1,2,aug,fri,18.5,8.5
2,4,aug,fri,25.9,3.6
1,2,aug,fri,25.9,3.6
5,4,aug,fri,21.1,7.6
6,5,aug,fri,18.2,5.4
